id,name,Solar,Wind,Tidal,Nuclear,Geothermal,Lat,Lon
1,United Kingdom,11630,15030,1.2,8918,0,55.3781,-3.436
2,France,7130,12065,240,63130,16,46.2276,2.2137
3,Belgium,3422,2386,0,5918,0,50.5039,4.4699
4,Germany,41220,50019,0,10799,27,51.1657,10.4515
5,Italy,19279,9257,0,0,916,41.8719,12.5674
6,Switzerland,1640,0,0,3333,0,46.8182,8.2275
7,Spain,5490,23075,0,7121,0,40.4637,-3.7492
8,Portugal,513,5316,0,0,29,39.3999,-8.2245
9,Poland,87,5782,0,0,0,51.9194,19.1451
10,Denmark,900,5227,0,0,0,56.2639,9.5018
11,Netherlands,2100,4328,1.25,482,0,52.1326,5.2913
12,Austria,1077,2632,0,0,1.2,47.5162,14.5501
13,Czech Republic,2131,281,0,3930,0,49.8175,15.473
14,Ireland,2,0,0,0,0,53.1424,-7.6921
15,Hungary,138,329,0,1889,0,47.1625,19.5033
